RenderName,Username,Ipv4,Config,ON
Render 1,backburner,192.168.0.50,1,0
Render 12,backburner,192.168.0.50,1,0
Render 45,backburner,render-45,1,1
Render 46,backburner,render-46,1,1
Render 2,backburner,192.168.0.50,0,1
Render 13,backburner,192.168.0.50,0,0
Render 48,backburner,render-45,0,1
Render 40,backburner,render-46,0,0
